C A Farley (Hudson, MA)
Canyon Springs High School (Caldwell, ID)
Canyon Springs HS (N Las Vegas, NV)
Canyon State Academy (Queen Creek, AZ)
Canyon View Elementary School (Tucson, AZ)
Canyon View High (Cedar City, UT)
Canyon View High School (Waddell, AZ)
Canyon View Middle School (Huntington, UT)
Canyon View Prep Academy (Prescott Valley, AZ)
Canyon View School (San Dimas, CA)
Canyon Vista Elementary (Aliso Viejo, CA)
Canyon Vista Middle (Austin, TX)
Canyons Technical Education Center (Sandy, UT)
Canyons Virtual High School (Sandy, UT)
Canyonville School (Canyonville, OR)
Cap Sante High School (Anacortes, WA)
Capac Elementary School (Capac, MI)
Capac High School (Capac, MI)
Capac Virtual Education Program (Capac, MI)
Cape Christian Academy (Cape May Court House, NJ)
Cape Cod Academy (Osterville, MA)
Cape Cod Region Vocational Technical (Harwich, MA)
Cape Coral Christian School (Cape Coral, FL)
Cape Coral High School (Cape Coral, FL)
Cape Coral Technical College (Cape Coral, FL)
Cape Elizabeth High School (Cape Elizabeth, ME)
Cape Fear Academy (Wilmington, NC)
Cape Fear High (Fayetteville, NC)
Cape Girardeau Car Tech Ctr. (Cape Girardeau, MO)
Cape Hatteras Secondary School (Buxton, NC)
Cape Henlopen High School (Lewes, DE)
Cape Henry Collegiate School (Virginia Beach, VA)
Cape May County High School (Cape May Court House, NJ)
Cape May County Technical High School (Cape May Court House, NJ)
Cape May Regional School (Cape May Court House, NJ)
Cape Romain Environmental Education Charter School (Mcclellanville, SC)
Cape St. Claire Elementary (Annapolis, MD)
Caperton Center For Applied Technology (Parkersburg, WV)
Capistrano Valley Christian Schools (San Juan Capistrano, CA)
Capistrano Valley High (Mission Viejo, CA)
Capital Area Career Center (Springfield, IL)
Capital Area School For The Arts Cs (Harrisburg, PA)
Capital Area Technical Center (Augusta, ME)
Capital Christian School (Sacramento, CA)
Capital City (Topeka, KS)
Capital City Alternative School (Jackson, MS)
Capital City Pcs - HS (Washington, DC)
Capital City Pcs - Lower School (Washington, DC)
Capital City Public Charter School (H) (Concord, NH)
Capital High (Madison, WI)
Capital High (Santa Fe, NM)
Capital High School (Charleston, WV)
Capital High School (Columbus, OH)
Capital High School (Helena, MT)
Capital High School (Olympia, WA)
Capital Innovations Academy (Sacramento, CA)
Capital Preparatory (Cp) Harlem Charter School (New York, NY)
Capital Preparatory (Tallahassee, FL)
Capital Preparatory Harbor School (Bridgeport, CT)
Capital Preparatory Magnet School (Hartford, CT)
Capital Senior High School (Boise, ID)
Capitan High (Capitan, NM)
Capitol Baptist School (Dover, DE)
Capitol City Baptist School (Holt, MI)
Capitol City Lighthouse Lower Academy (North Little Rock, AR)
Capitol High School (Baton Rouge, LA)
Capitol Hill HS (Oklahoma City, OK)
Capitol Hill Magnet/Rondo (Saint Paul, MN)
Capitol Hill Montessori School At Logan (Washington, DC)
Capitol West Academy (Milwaukee, WI)
Capon Bridge Elementary School (Capon Bridge, WV)
Caprock Academy (Grand Junction, CO)
Caprock H S (Amarillo, TX)
Capron Elem School (Capron, IL)
Caps Academy (Coopersville, MI)
Capstone Academy  Atlanta (Atlanta, GA)
Capstone Academy Charter School Sda South Campus (Detroit, MI)
Capstone Academy Charter Schoolmayfield (Detroit, MI)
Capt D Salinas Ii El (Alamo, TX)
Capt. Isaac Paine El. School (Foster, RI)
Captain Albert W. Stevens School (Belfast, ME)
Captain James Lawrence Elementary School (Burlington, NJ)
Captain John Continuation High (Hoopa, CA)
Captain Strong (Battle Ground, WA)
Captain Vernon A Richards HS-Fire (Brooklyn, NY)
Capuano Early Childhood Center (Somerville, MA)
Capuchino High (San Bruno, CA)
Car. Tech. Ctr. At Ft. Osage (Independence, MO)
Caravel Academy (Bear, DE)
Carbon Career & Technical Institute (Jim Thorpe, PA)
Carbon High (Price, UT)
Carbon Hill High School (Carbon Hill, AL)
Carbon Valley Academy (Frederick, CO)
Carbondale Area Jshs (Carbondale, PA)
Carbondale Comm H S (Carbondale, IL)
Carbondale Community Charter School (Carbondale, CO)
Carbondale Middle School (Carbondale, CO)
Carbone School/East Haven Academy (East Haven, CT)
Card Academy Alexandria (Alexandria, VA)
Card Academy Chandler (Chandler, AZ)
Carden Christian Academy (Pensacola, FL)
Cardinal Cushing Centers (Hanover, MA)
Cardinal Gibbons High School (Fort Lauderdale, FL)
Cardinal Gibbons High School (Raleigh, NC)
Cardinal Hayes High School (Bronx, NY)
Cardinal Heights Upper Middle (Sun Prairie, WI)
Cardinal High School (Eldon, IA)
Cardinal High School (Middlefield, OH)
Cardinal Kung Academy (Stamford, CT)
Cardinal Middle School (Middlefield, OH)
Cardinal Mooney Catholic (Marine City, MI)
Cardinal Mooney Catholic High School (Sarasota, FL)
Cardinal Mooney High School (Youngstown, OH)
