Fiorello H Laguardia High School (New York, NY)
Fir Grove Childrens Center (Vancouver, WA)
Fir Grove Elementary School (Beaverton, OR)
Fircrest Residential Habilitation (Shoreline, WA)
Firebaugh Community Day (Firebaugh, CA)
Firebaugh High (Firebaugh, CA)
Firelands High School (Oberlin, OH)
Firestone High School (Akron, OH)
Fireweed Academy (Homer, AK)
Firgrove Elementary (Puyallup, WA)
Firm Foundation Christian School (Battle Ground, WA)
First Academy (Douglas, GA)
First Academy (Lulu, FL)
First Academy-Leesburg (Leesburg, FL)
First Assembly Christian School (Ashland, AL)
First Assembly Christian School (Cordova, TN)
First Assembly Christian School (Monroe, NC)
First Assembly Christian School & Daycare (Ocala, FL)
First Baptist Academy (Hollywood, FL)
First Baptist Academy (Naples, FL)
First Baptist Academy (O Fallon, IL)
First Baptist Academy (Powell, TN)
First Baptist Academy (Thousand Oaks, CA)
First Baptist Academy Dallas (Dallas, TX)
First Baptist Academy Of Dallas (Dallas, TX)
First Baptist Academy Of Universal City (Universal City, TX)
First Baptist Christian Academy (Bunnell, FL)
First Baptist Christian Academy (Pasadena, TX)
First Baptist Christian School (Butler, PA)
First Baptist Christian School (Danville, IL)
First Baptist Christian School (Elyria, OH)
First Baptist Christian School (Haltom City, TX)
First Baptist Christian School (Slidell, LA)
First Baptist Church School (Long Beach, CA)
First Baptist Of East Bay / East Bay Christian (Riverview, FL)
First Baptist School (Brownsville, TX)
First Baptist School (Plattsmouth, NE)
First Baptist School (Rosemount, MN)
First Baptist School Of Charleston (Charleston, SC)
First Century Gospel School (Philadelphia, PA)
First Children School (Fanwood, NJ)
First City School (Bemidji, MN)
First Coast Christian School (Jacksonville, FL)
First Coast High School (Jacksonville, FL)
First Coast Technical College (St Augustine, FL)
First Colonial High (Virginia Beach, VA)
First Colony Middle (Sugar Land, TX)
First Flight High School (Kill Devil Hills, NC)
First Love Christian Academy (Washington, PA)
First Philadelphia Preparatory Cs (Philadelphia, PA)
First Presbyterian Academy At Shannon Forest (Greenville, SC)
First Presbyterian Christian Academy (Hinesville, GA)
First Presbyterian Day School (Macon, GA)
First Southern Methodist Chr & Wesley Christian Sc (Orangeburg, SC)
First State Military Academy (Clayton, DE)
First State School (Wilmington, DE)
First Step Alden (Alden, MN)
Firth High School (Firth, ID)
Firwood (Steilacoom, WA)
Fishburne Military School (Waynesboro, VA)
Fisher El (Frisco, TX)
Fisher Elementary (Fisher, MN)
Fisher Elementary (Pasadena, TX)
Fisher Hill (Orange, MA)
Fisher Jr/Sr High School (Fisher, IL)
Fisher Middle/High School (Lafitte, LA)
Fisher Secondary (Fisher, MN)
Fishers Christian Academy (Fishers, IN)
Fishers High School (Fishers, IN)
Fishers Island School (Fishers Island, NY)
Fishers Junior High School (Fishers, IN)
Fisk Elementary (Fisk, MO)
Fiske Elem School (Chicago, IL)
Fit Academy High School (Apple Valley, MN)
Fitch High School (Youngstown, OH)
Fitchburg High (Fitchburg, MA)
Fitzgerald El (Arlington, TX)
Fitzgerald High School (Fitzgerald, GA)
Fitzgerald Middle School (Largo, FL)
Fitzgerald Senior High School (Warren, MI)
Fitzsimmons Middle School (Bailey, CO)
Fivay High School (Hudson, FL)
Five County Reg Voc Center (Tamms, IL)
Five County Reg Voc System (Tamms, IL)
Five County Regional Alternative (Murphysboro, IL)
Five Keys Adult School (Sf Sheriff'S) (San Francisco, CA)
Five Keys Charter (Sf Sheriff'S) (San Bruno, CA)
Five Keys Independence HS (Sf Sheriff'S) (San Francisco, CA)
Five Points (Centerville, OH)
Five Points Education Training Center (Kinston, NC)
Five Points Elementary School (Lake City, FL)
Fl Chamberlain School (Middleboro, MA)
Flagami Elementary School (Miami, FL)
Flagler Public School (Flagler, CO)
Flagler Virtual Instruction Kg-12 (Bunnell, FL)
Flagler Virtual Instruction(Course Offerings) (Bunnell, FL)
Flagler-Palm Coast High School (Palm Coast, FL)
Flagstaff Arts And Leadership Academy (Flagstaff, AZ)
Flagstaff Christian School (Flagstaff, AZ)
Flagstaff High School (Flagstaff, AZ)
Flagstaff Junior Academy (Flagstaff, AZ)
Flaherty Elementary School (Ekron, KY)
Flambeau Correctional Center (Hawkins, WI)
Flambeau High (Tony, WI)
Flaming Gorge School (Dutch John, UT)
Flaming Sword Christian Academy (Hope Mills, NC)
Flamingo Elementary School (Davie, FL)
Flamingo Elementary School (Hialeah, FL)
Flanagan-Cornell High School (Flanagan, IL)
Flanders Elementary School (Southington, CT)
